,Player,Team,Position,FPts,GP,GS,Min,MCS,W,CS,SA,STA,GA,GAIB,GAOB,Sv,SvIB,SvOB,YC,RC,FC,FS,ErS,ErG,Pen,DP,PKGA,PKS,PKF,PKD,PKM,SubOn,SubOff,TkW,DIS,Tu,G,A,KP,PA,AP,C,Int,IntB,CLRA,CLR,CoS,OO,DW,DL,AER,AERL,AC,ACNC,LBA,HCA,HCS,Sm,Pu,OG,SOT,LB,Date
179,David de Gea,MUN,G,4.14,1,1,90,0,0,0,10,4,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,2019-10-20
180,Alisson,LIV,G,0.58,1,1,90,0,0,0,7,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,0,0,0,1,1,0,0,1,0,1,0,0,0,5,1,1,0,1,0,0,8,2019-10-20
181,Dean Henderson,SHU,G,14.74,1,1,90,90,1,1,9,3,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,22,2019-10-21
182,Bernd Leno,ARS,G,0.56,1,1,90,0,0,0,8,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,8,2019-10-21
183,Kasper Schmeichel,LEI,G,16.28,1,1,90,90,1,1,6,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2019-10-25
184,Angus Gunn,SOU,G,-4.92,1,1,90,0,0,0,25,15,9,8,1,6,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,21,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,21,2019-10-25
185,Ederson,MCI,G,20.4,1,1,90,90,1,1,11,5,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,0,0,0,2,2,0,0,1,0,1,0,0,0,6,1,1,0,2,0,0,9,2019-10-26
186,Ben Foster,WAT,G,15.18,1,1,90,90,0,1,15,5,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,0,3,3,0,0,0,0,0,0,0,0,9,1,1,0,1,0,0,23,2019-10-26
187,Mat Ryan,BHA,G,11.72,1,1,90,0,1,0,11,7,2,2,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2019-10-26
188,Aaron Ramsdale,BOU,G,11.4,1,1,90,90,0,1,7,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,0,0,0,2,2,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,13,2019-10-26
189,Kepa Arrizabalaga,CHE,G,7.46,1,1,90,0,1,0,13,5,2,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,2019-10-26
190,Tom Heaton,AVL,G,6.5,1,1,90,0,0,0,26,9,3,3,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,17,2019-10-26
191,Dean Henderson,SHU,G,4.14,1,1,90,0,0,0,12,4,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,2,2,0,0,1,0,1,0,0,0,5,2,2,0,2,0,0,23,2019-10-26
192,Roberto Jimenez,WHU,G,2.2,1,1,90,0,0,0,10,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,22,2019-10-26
193,Jordan Pickford,EVE,G,-1.62,1,1,90,0,0,0,9,5,3,2,1,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,33,19,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,21,2019-10-26
194,Nick Pope,BUR,G,-1.82,1,1,90,0,0,0,16,7,4,4,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,1,0,0,0,0,20,2019-10-26
195,Paulo Gazzaniga,TOT,G,21.22,1,1,90,0,0,0,21,14,2,2,0,12,8,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,22,2019-10-27
196,Tim Krul,NOR,G,16.32,1,1,90,0,0,0,21,11,3,3,0,8,7,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,25,16,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,12,2019-10-27
197,Alisson,LIV,G,9.54,1,1,90,0,1,0,11,4,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,15,2019-10-27
198,David de Gea,MUN,G,7.2,1,1,90,0,1,0,10,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,2019-10-27
199,Martin Dubravka,NEW,G,6.42,1,1,90,0,0,0,13,5,1,1,0,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,19,2019-10-27
200,Wayne Hennessey,CRY,G,4.44,1,1,90,0,0,0,15,6,2,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,0,1,0,1,0,0,17,0,0,0,0,0,0,28,2019-10-27
201,Bernd Leno,ARS,G,0.24,1,1,90,0,0,0,10,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,2,0,1,0,0,4,2019-10-27
202,Rui Patricio,WOL,G,0.14,1,1,90,0,0,0,13,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,8,2019-10-27
203,Aaron Ramsdale,BOU,G,18.28,1,1,90,90,1,1,15,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,0,0,0,2,2,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,25,2019-11-02
204,Ben Foster,WAT,G,13.18,1,1,90,0,0,0,16,10,2,2,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,20,2019-11-02
205,Bernd Leno,ARS,G,12.36,1,1,90,0,0,0,24,8,1,1,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,2019-11-02
206,Dean Henderson,SHU,G,12.1,1,1,90,90,1,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,2,2,0,0,2,0,2,0,0,0,5,1,1,0,2,0,0,36,2019-11-02
207,Mat Ryan,BHA,G,10.54,1,1,90,90,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,2019-11-02
208,Martin Dubravka,NEW,G,9.2,1,1,90,0,1,0,16,6,2,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,1,1,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,27,2019-11-02
209,David de Gea,MUN,G,8.18,1,1,90,0,0,0,13,6,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,2019-11-02
210,Kepa Arrizabalaga,CHE,G,7.56,1,1,90,0,1,0,12,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,2019-11-02
211,Roberto Jimenez,WHU,G,6.24,1,1,90,0,0,0,12,9,3,2,1,6,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2019-11-02
212,Ederson,MCI,G,5.94,1,1,90,0,1,0,3,3,1,1,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,8,2019-11-02
213,Alisson,LIV,G,5.26,1,1,90,0,1,0,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2019-11-02
214,Tom Heaton,AVL,G,4.28,1,1,90,0,0,0,25,6,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,0,0,0,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,36,2019-11-02
215,Rui Patricio,WOL,G,4.24,1,1,90,0,0,0,10,4,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,14,2019-11-02
216,Tim Krul,NOR,G,2.3,1,1,90,0,0,0,21,5,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,15,0,0,0,2,2,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,22,2019-11-02
217,Nick Pope,BUR,G,0.28,1,1,90,0,0,0,13,6,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,30,2019-11-02
218,Alex McCarthy,SOU,G,-0.26,1,1,90,0,0,0,26,4,2,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,0,0,0,1,1,0,0,2,1,2,1,0,0,9,3,2,1,0,0,0,30,2019-11-02
219,Kasper Schmeichel,LEI,G,16.4,1,1,90,90,1,1,12,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,12,2019-11-03
220,Paulo Gazzaniga,TOT,G,2.42,1,1,90,0,0,0,7,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,14,2019-11-03
221,Vicente Guaita,CRY,G,2.16,1,1,90,0,0,0,14,5,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,6,2019-11-03
222,Jordan Pickford,EVE,G,0.46,1,1,90,0,0,0,5,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23,0,0,0,1,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,22,2019-11-03
223,Ben Foster,WAT,G,20.28,1,1,90,90,1,1,17,5,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,29,2019-11-08
224,Tim Krul,NOR,G,-3.46,1,1,90,0,0,0,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,13,2019-11-08
225,Nick Pope,BUR,G,18.24,1,1,90,90,1,1,7,4,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,0,0,0,0,27,2019-11-09
226,Roberto Jimenez,WHU,G,15.26,1,1,90,0,0,0,15,13,3,3,0,10,6,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,13,0,0,0,4,4,0,0,2,0,1,0,0,0,7,0,0,1,3,1,0,31,2019-11-09
227,Kasper Schmeichel,LEI,G,13.3,1,1,90,90,1,1,8,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,5,2019-11-09
228,Kepa Arrizabalaga,CHE,G,12.42,1,1,90,90,1,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,8,2019-11-09
229,Aaron Ramsdale,BOU,G,10.24,1,1,90,0,0,0,21,9,2,2,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,1,1,0,0,2,0,1,0,0,0,1,1,1,0,1,0,0,6,2019-11-09
230,Martin Dubravka,NEW,G,9.28,1,1,90,0,1,0,16,4,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,0,1,1,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,20,2019-11-09
231,Jordan Pickford,EVE,G,7.32,1,1,90,0,1,0,4,3,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,29,2019-11-09
232,Bernd Leno,ARS,G,6.5,1,1,90,0,0,0,19,7,2,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,10,2019-11-09
233,Dean Henderson,SHU,G,6.1,1,1,90,0,0,0,17,5,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,24,2019-11-09
234,Paulo Gazzaniga,TOT,G,4.42,1,1,90,0,0,0,14,4,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,2019-11-09
235,Vicente Guaita,CRY,G,2.28,1,1,90,0,0,0,23,5,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,0,0,4,4,0,0,1,0,1,0,0,0,9,0,0,0,1,0,0,18,2019-11-09
236,Alex McCarthy,SOU,G,2.26,1,1,90,0,0,0,24,5,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,17,2019-11-09
237,Mat Ryan,BHA,G,11.66,1,1,90,0,0,0,21,11,3,3,0,8,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,0,0,0,0,0,0,0,2,0,1,0,0,0,3,2,0,0,0,0,0,5,2019-11-10
238,Rui Patricio,WOL,G,9.24,1,1,90,0,1,0,13,4,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,2019-11-10
239,Alisson,LIV,G,7.72,1,1,90,0,1,0,18,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,36,0,0,0,3,3,0,0,0,0,0,0,0,0,6,2,2,1,1,0,0,17,2019-11-10
240,David de Gea,MUN,G,6.34,1,1,90,0,1,0,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,7,2019-11-10
241,Orjan Nyland,AVL,G,2.32,1,0,82,0,0,0,16,5,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,2019-11-10
242,Jed Steer,AVL,G,0.02,1,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-11-10
243,Claudio Bravo,MCI,G,-1.4,1,1,90,0,0,0,12,5,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,2019-11-10
244,Tim Krul,NOR,G,24.36,1,1,90,90,1,1,18,7,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,0,0,0,2,2,0,0,2,0,2,0,0,0,11,4,3,1,2,0,0,26,2019-11-23
245,Nick Pope,BUR,G,19.24,1,1,90,90,1,1,15,4,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,0,0,33,2019-11-23
246,Alisson,LIV,G,13.5,1,1,90,0,1,0,16,6,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,2019-11-23
247,Mat Ryan,BHA,G,10.46,1,1,90,0,0,0,19,9,2,2,0,7,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,26,23,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,8,2019-11-23
248,Kasper Schmeichel,LEI,G,10.28,1,1,90,90,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,2019-11-23
249,Rui Patricio,WOL,G,8.24,1,1,90,0,1,0,9,3,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,17,2019-11-23
250,Bernd Leno,ARS,G,7.46,1,1,90,0,0,0,21,6,2,2,0,4,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,29,23,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,2019-11-23
251,Paulo Gazzaniga,TOT,G,7.24,1,1,90,0,1,0,11,5,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,21,2019-11-23
252,Aaron Ramsdale,BOU,G,7.24,1,1,90,0,0,0,18,7,2,1,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,12,0,0,0,2,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,19,2019-11-23
253,Ederson,MCI,G,5.58,1,1,90,0,1,0,11,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,2019-11-23
254,Jordan Pickford,EVE,G,2.34,1,1,90,0,0,0,13,5,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,0,17,2019-11-23
255,Alex McCarthy,SOU,G,2.22,1,1,90,0,0,0,12,5,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,0,0,2,2,0,0,0,0,0,0,0,0,7,3,3,0,1,0,0,19,2019-11-23
256,Kepa Arrizabalaga,CHE,G,0.76,1,1,90,0,0,0,15,4,2,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,38,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,1,2,0,0,0,11,2019-11-23
257,Vicente Guaita,CRY,G,0.42,1,1,90,0,0,0,12,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,21,0,0,0,1,1,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,30,2019-11-23
258,Roberto Jimenez,WHU,G,0.2,1,1,90,0,0,0,15,6,3,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,0,0,0,1,1,0,0,1,0,1,0,0,0,9,0,0,0,1,0,0,20,2019-11-23
259,Ben Foster,WAT,G,-1.8,1,1,90,0,0,0,11,5,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,1,1,0,0,1,0,1,0,0,0,7,1,1,0,1,0,0,19,2019-11-23
260,David de Gea,MUN,G,4.34,1,1,90,0,0,0,12,8,3,2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,9,2019-11-24
261,Simon Moore,SHU,G,-1.92,1,1,90,0,0,0,11,5,3,3,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,2019-11-24
262,Tom Heaton,AVL,G,20.26,1,1,90,90,1,1,11,5,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,13,2019-11-25
263,Martin Dubravka,NEW,G,8.44,1,1,90,0,0,0,17,8,2,2,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,0,0,0,2,2,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,18,2019-11-25
264,David Martin,WHU,G,22.22,1,1,90,90,1,1,19,6,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,0,0,1,1,1,1,0,0,11,1,1,1,0,0,0,26,2019-11-30
265,Vicente Guaita,CRY,G,16.28,1,1,90,90,1,1,15,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,0,0,0,1,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,25,2019-11-30
266,Paulo Gazzaniga,TOT,G,10.28,1,1,90,0,1,0,20,6,2,1,1,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,0,0,0,1,1,0,0,3,0,2,0,0,0,9,2,2,1,1,0,0,27,2019-11-30
267,Martin Dubravka,NEW,G,10.2,1,1,90,0,0,0,24,9,2,1,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,30,2019-11-30
268,Alex McCarthy,SOU,G,7.26,1,1,90,0,1,0,6,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,2,2,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,15,2019-11-30
269,Mat Ryan,BHA,G,6.62,1,1,90,0,0,0,15,7,2,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,2019-11-30
270,Alisson,LIV,G,6.06,1,1,76,0,1,0,7,2,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,10,2019-11-30
271,Kepa Arrizabalaga,CHE,G,4.34,1,1,90,0,0,0,5,4,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,3,2019-11-30
272,Ben Foster,WAT,G,3.2,1,1,90,0,0,0,11,5,2,1,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,1,1,0,0,1,0,0,0,0,0,4,2,2,0,0,0,0,21,2019-11-30
273,Adrian,LIV,G,2.0,1,0,12,0,0,0,5,3,1,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,2019-11-30
