,Player,Team,Position,FPts,GP,GS,Min,MCS,W,CS,SA,STA,GA,GAIB,GAOB,Sv,SvIB,SvOB,YC,RC,FC,FS,ErS,ErG,Pen,DP,PKGA,PKS,PKF,PKD,PKM,SubOn,SubOff,TkW,DIS,Tu,G,A,KP,PA,AP,C,Int,IntB,CLRA,CLR,CoS,OO,DW,DL,AER,AERL,AC,ACNC,LBA,HCA,HCS,Sm,Pu,OG,SOT,LB,Date
74,Aaron Ramsdale,BOU,G,0.12,1,1,90,0,0,0,15,6,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,14,2019-08-31
75,Mat Ryan,BHA,G,-3.28,1,1,90,0,0,0,15,6,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,6,2019-08-31
76,Bernd Leno,ARS,G,10.18,1,1,90,0,0,0,13,9,2,2,0,7,1,6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,7,2019-09-01
77,Hugo Lloris,TOT,G,8.56,1,1,90,0,0,0,26,8,2,2,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,23,2019-09-01
78,Jordan Pickford,EVE,G,7.44,1,1,90,0,1,0,8,5,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,2,0,2,0,0,0,12,2,2,0,0,0,0,23,2019-09-01
79,Rui Patricio,WOL,G,0.16,1,1,90,0,0,0,15,6,3,3,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,2019-09-01
80,Hugo Lloris,TOT,G,22.22,1,1,90,90,1,1,11,6,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,1,1,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,5,2019-09-14
81,Angus Gunn,SOU,G,18.32,1,1,90,90,1,1,17,4,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,0,0,0,1,1,0,0,1,0,1,0,0,0,6,0,0,0,1,0,0,18,2019-09-14
82,David de Gea,MUN,G,18.24,1,1,90,90,1,1,9,3,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,10,2019-09-14
83,Tim Krul,NOR,G,13.32,1,1,90,0,1,0,25,8,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,0,0,0,2,2,0,0,1,0,1,0,0,0,4,1,1,0,2,0,0,26,2019-09-14
