,Player,Team,Position,FPts,GP,GS,Min,G,GOF,A,KP,ABS,AFKG,AHW,AOG,APL,APKG,AR,ASOP,S,SOT,SOP,SB,Tk,TkW,TLM,Tu,DIS,PLC,FC,FS,ErS,ErG,YC,RC,RCR,HB,Pen,DP,Off,PA,AP,SFTP,C,AC,ACNC,CF,CK,CIB,CF.1,CC,FKS,Int,IntB,CLRA,CLR,CoA,CoS,CSLM,BC,BS,DW,DL,AER,AERL,BCC,BCM,BCS,BR,FKG,FKM,PL,LB,LBA,SubOn,SubOff,PKG,PKA,PKM,PKD,OG,GAO,SAO,CS,CS.1,MCS,CSD,Date
28,Erik Pieters,BUR,D,26.0,1,1,90,0,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,7,4,0,1,0,35,0,1,0,0,0,0,0,0,0,0,0,56,30,6,2,1,1,1,0,0,0,1,0,2,0,2,2,0,0,0,0,0,9,1,1,0,1,0,0,5,0,0,35,15,5,0,0,0,0,0,0,0,0,11,1,1,90,1,2019-08-10
29,Riyad Mahrez,MCI,"M,F",25.1,1,1,90,0,5,2,4,0,0,0,0,0,1,0,0,3,1,0,1,4,3,0,1,4,12,1,1,0,0,0,0,0,0,0,0,1,36,30,12,0,0,0,0,0,0,1,0,0,2,0,0,0,3,2,0,0,0,7,7,0,1,2,1,0,7,0,0,12,3,1,0,0,0,0,0,1,0,0,5,1,1,90,0,2019-08-10
30,John McGinn,AVL,M,19.62,1,1,90,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,8,4,0,4,4,13,2,2,0,0,0,0,0,0,0,0,0,10,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,8,1,0,0,0,1,2,0,0,13,1,1,0,0,0,0,0,0,0,3,31,0,0,0,0,2019-08-10
31,Johann Gudmundsson,BUR,M,18.7,1,1,90,1,3,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,12,1,1,0,0,0,0,0,0,0,0,0,14,5,3,3,3,1,0,2,2,0,0,0,2,1,1,1,4,3,0,0,0,5,4,0,1,0,0,0,5,0,0,12,4,0,0,0,0,0,0,0,0,0,11,1,1,90,0,2019-08-10
32,Tanguy Ndombele,TOT,M,17.84,1,1,89,1,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,3,2,15,2,0,0,0,0,0,0,0,0,0,0,55,47,25,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,0,15,2,1,0,1,0,0,0,0,0,1,7,0,0,0,0,2019-08-10
33,Kevin De Bruyne,MCI,M,17.66,1,1,79,0,3,1,3,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,48,38,16,2,0,0,2,1,0,0,0,0,2,1,0,0,2,2,0,0,0,6,2,0,0,2,0,0,9,0,0,15,3,1,0,1,0,0,0,0,0,0,4,1,1,79,0,2019-08-10
34,Chris Mepham,BOU,D,17.58,1,1,90,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,14,2,3,0,0,0,0,0,0,0,0,0,65,54,2,0,0,0,0,0,0,0,1,0,1,1,2,2,2,1,0,0,1,6,5,1,2,0,0,1,8,0,0,14,10,3,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-10
35,Erik Lamela,TOT,M,17.16,1,1,88,0,2,0,2,0,0,0,0,0,0,0,0,4,1,0,2,3,3,0,2,3,19,0,1,0,0,1,0,0,0,0,0,0,38,33,21,10,3,1,7,9,2,1,0,1,0,0,0,0,3,2,0,0,0,6,6,0,2,0,0,0,5,0,0,19,1,1,0,1,0,0,0,0,0,1,5,0,0,0,0,2019-08-10
36,Moussa Sissoko,TOT,M,16.04,1,1,90,0,3,1,1,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,2,15,3,2,0,0,0,0,0,0,0,0,0,58,52,22,5,0,0,5,0,0,4,0,0,0,0,0,0,5,3,0,0,0,6,8,0,0,0,1,0,8,0,0,15,2,1,0,0,0,0,0,0,0,1,7,0,0,0,0,2019-08-10
37,Gabriel Jesus,MCI,F,14.7,1,1,69,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,8,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,69,0,2019-08-10
38,Lucas Moura,TOT,"M,F",14.32,1,1,90,0,3,1,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,34,31,20,1,0,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,3,5,1,1,1,1,0,4,0,0,9,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2019-08-10
39,Lewis Dunk,BHA,D,13.58,1,1,90,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,6,2,2,0,0,1,0,0,0,0,0,0,59,54,4,0,0,0,0,0,0,0,1,0,2,0,3,3,0,0,0,0,1,7,5,3,2,1,0,0,7,0,0,6,8,7,0,0,0,0,0,0,0,0,11,1,1,90,1,2019-08-10
40,Christian Eriksen,TOT,"M,F",13.48,1,0,26,0,3,0,3,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,19,14,8,1,1,7,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,12,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2019-08-10
41,Neal Maupay,BHA,F,13.12,1,0,26,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,0,1,0,0,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,4,0,0,26,0,2019-08-10
42,Seamus Coleman,EVE,D,12.56,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,28,1,1,0,0,0,0,0,1,0,0,0,56,43,10,6,0,0,6,0,0,1,1,0,4,1,0,0,3,1,0,0,2,3,4,1,1,0,1,0,9,0,0,28,4,0,0,0,0,0,0,0,0,0,6,1,1,90,1,2019-08-10
43,Kyle Walker-Peters,TOT,D,12.1,1,1,90,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,1,16,1,3,0,0,0,0,0,0,0,0,0,74,65,30,4,0,0,4,0,0,4,0,0,1,0,3,3,3,2,0,0,0,10,6,2,2,0,0,0,6,0,0,16,5,2,0,0,0,0,0,0,0,1,7,0,0,0,0,2019-08-10
44,Sergio Aguero,MCI,F,12.06,1,0,21,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,3,0,0,21,0,2019-08-10
45,Richarlison,EVE,"M,F",11.92,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,4,2,0,4,3,20,2,4,0,0,0,0,0,1,0,0,0,23,16,6,3,1,1,2,0,0,0,0,0,1,0,1,1,3,0,0,0,0,9,8,1,1,0,0,0,10,0,0,20,3,2,0,0,0,0,0,0,0,0,6,1,1,90,0,2019-08-10
46,Davy Propper,BHA,M,11.66,1,1,90,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,45,38,10,2,1,1,1,0,0,1,0,0,1,0,2,2,2,1,0,0,0,4,6,0,1,1,0,0,6,0,0,10,6,6,0,0,0,0,0,0,0,0,11,1,1,90,0,2019-08-10
47,Billy Sharp,SHU,F,11.54,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019-08-10
48,James Tarkowski,BUR,D,11.46,1,1,90,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,0,18,1,3,0,0,0,0,0,0,0,0,0,39,23,2,0,0,0,0,0,0,0,2,0,3,0,2,2,1,1,0,0,1,7,1,2,0,0,0,0,7,0,0,18,10,3,0,0,0,0,0,0,0,0,11,1,1,90,1,2019-08-10
49,Kyle Walker,MCI,D,11.44,1,1,90,0,5,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,11,1,0,0,0,1,0,0,0,0,0,0,55,47,9,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,4,3,2,1,0,0,0,10,0,0,11,5,2,0,0,0,0,0,0,0,0,5,1,1,90,1,2019-08-10
50,Jack Grealish,AVL,"M,F",11.1,1,1,90,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,1,5,1,5,0,0,0,0,0,0,0,0,0,32,30,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,10,4,0,0,0,0,0,7,0,0,5,2,2,0,0,0,0,0,0,0,3,31,0,0,0,0,2019-08-10
51,Philip Billing,BOU,M,10.9,1,1,90,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,6,4,0,1,2,12,2,0,0,0,0,0,0,0,0,0,0,53,45,11,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,1,0,8,11,2,4,0,0,0,6,0,0,12,2,1,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-10
52,Martin Montoya,BHA,"D,M",10.46,1,1,90,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,3,27,0,2,0,0,0,0,0,0,0,0,0,41,28,9,2,0,0,2,0,0,0,0,0,1,0,2,2,3,1,0,0,0,5,5,0,0,0,0,0,5,0,0,27,5,2,0,0,0,0,0,0,0,0,11,1,1,90,1,2019-08-10
53,Lucas Digne,EVE,D,10.2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,31,1,1,0,0,0,0,0,0,0,0,0,41,25,6,6,1,1,5,1,0,1,1,0,0,0,1,1,2,0,0,0,0,2,5,1,1,0,0,0,4,0,0,31,4,0,0,0,0,0,0,0,0,0,6,1,1,90,1,2019-08-10
54,Ryan Fraser,BOU,"M,F",10.1,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,11,1,4,0,0,1,0,0,0,0,0,0,27,25,15,8,2,1,6,2,1,0,0,1,0,0,0,0,2,0,0,0,0,5,3,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-10
